Timestep,Region,n2oem
2172,MAF,0.76
MAF,2173,0.76
2173,MAF,0.76
MAF,2174,0.76
2174,MAF,0.76
MAF,2175,0.76
2175,MAF,0.76
MAF,2176,0.76
2176,MAF,0.76
MAF,2177,0.76
2177,MAF,0.76
MAF,2178,0.77
2178,MAF,0.77
MAF,2179,0.77
2179,MAF,0.77
MAF,2180,0.77
2180,MAF,0.77
MAF,2181,0.77
2181,MAF,0.77
MAF,2182,0.77
2182,MAF,0.77
MAF,2183,0.77
2183,MAF,0.77
MAF,2184,0.77
2184,MAF,0.77
MAF,2185,0.77
2185,MAF,0.77
MAF,2186,0.77
2186,MAF,0.77
MAF,2187,0.77
2187,MAF,0.77
MAF,2188,0.77
2188,MAF,0.77
MAF,2189,0.77
2189,MAF,0.77
MAF,2190,0.77
2190,MAF,0.77
MAF,2191,0.77
2191,MAF,0.77
MAF,2192,0.77
2192,MAF,0.77
MAF,2193,0.77
2193,MAF,0.77
MAF,2194,0.77
2194,MAF,0.77
MAF,2195,0.77
2195,MAF,0.77
MAF,2196,0.77
2196,MAF,0.77
MAF,2197,0.77
2197,MAF,0.77
MAF,2198,0.77
2198,MAF,0.77
MAF,2199,0.77
2199,MAF,0.77
MAF,2200,0.77
2200,MAF,0.77
MAF,2201,0.77
2201,MAF,0.77
MAF,2202,0.77
2202,MAF,0.77
MAF,2203,0.77
2203,MAF,0.77
MAF,2204,0.77
2204,MAF,0.77
MAF,2205,0.77
2205,MAF,0.77
MAF,2206,0.77
2206,MAF,0.77
MAF,2207,0.77
2207,MAF,0.77
MAF,2208,0.77
2208,MAF,0.77
MAF,2209,0.77
2209,MAF,0.77
MAF,2210,0.77
2210,MAF,0.77
MAF,2211,0.77
2211,MAF,0.77
MAF,2212,0.78
2212,MAF,0.78
MAF,2213,0.78
2213,MAF,0.78
MAF,2214,0.78
2214,MAF,0.78
MAF,2215,0.78
2215,MAF,0.78
MAF,2216,0.78
2216,MAF,0.78
MAF,2217,0.78
2217,MAF,0.78
MAF,2218,0.78
2218,MAF,0.78
MAF,2219,0.78
2219,MAF,0.78
MAF,2220,0.78
2220,MAF,0.78
MAF,2221,0.78
2221,MAF,0.78
MAF,2222,0.78
2222,MAF,0.78
MAF,2223,0.78
2223,MAF,0.78
MAF,2224,0.78
2224,MAF,0.78
MAF,2225,0.78
2225,MAF,0.78
MAF,2226,0.78
2226,MAF,0.78
MAF,2227,0.78
2227,MAF,0.78
MAF,2228,0.78
2228,MAF,0.78
MAF,2229,0.78
2229,MAF,0.78
MAF,2230,0.78
2230,MAF,0.78
MAF,2231,0.78
2231,MAF,0.78
MAF,2232,0.78
2232,MAF,0.78
MAF,2233,0.78
2233,MAF,0.78
MAF,2234,0.78
2234,MAF,0.78
MAF,2235,0.78
2235,MAF,0.78
MAF,2236,0.79
2236,MAF,0.79
MAF,2237,0.79
2237,MAF,0.79
MAF,2238,0.79
2238,MAF,0.79
MAF,2239,0.79
2239,MAF,0.79
MAF,2240,0.79
2240,MAF,0.79
MAF,2241,0.79
2241,MAF,0.79
MAF,2242,0.79
2242,MAF,0.79
MAF,2243,0.79
2243,MAF,0.79
MAF,2244,0.79
2244,MAF,0.79
MAF,2245,0.79
2245,MAF,0.79
MAF,2246,0.79
2246,MAF,0.79
MAF,2247,0.79
2247,MAF,0.79
MAF,2248,0.79
2248,MAF,0.79
MAF,2249,0.79
2249,MAF,0.79
MAF,2250,0.79
2250,MAF,0.79
MAF,2251,0.79
2251,MAF,0.79
MAF,2252,0.79
2252,MAF,0.79
MAF,2253,0.79
2253,MAF,0.79
MAF,2254,0.79
2254,MAF,0.79
MAF,2255,0.79
2255,MAF,0.79
MAF,2256,0.79
2256,MAF,0.79
MAF,2257,0.79
2257,MAF,0.79
MAF,2258,0.79
2258,MAF,0.79
MAF,2259,0.79
2259,MAF,0.79
MAF,2260,0.8
2260,MAF,0.8
MAF,2261,0.8
2261,MAF,0.8
MAF,2262,0.8
2262,MAF,0.8
MAF,2263,0.8
2263,MAF,0.8
MAF,2264,0.8
2264,MAF,0.8
MAF,2265,0.8
2265,MAF,0.8
MAF,2266,0.8
2266,MAF,0.8
MAF,2267,0.8
2267,MAF,0.8
MAF,2268,0.8
2268,MAF,0.8
MAF,2269,0.8
2269,MAF,0.8
MAF,2270,0.8
2270,MAF,0.8
MAF,2271,0.8
2271,MAF,0.8
MAF,2272,0.8
2272,MAF,0.8
MAF,2273,0.8
2273,MAF,0.8
MAF,2274,0.8
2274,MAF,0.8
MAF,2275,0.8
2275,MAF,0.8
MAF,2276,0.8
2276,MAF,0.8
MAF,2277,0.8
2277,MAF,0.8
MAF,2278,0.8
2278,MAF,0.8
MAF,2279,0.8
2279,MAF,0.8
MAF,2280,0.8
2280,MAF,0.8
MAF,2281,0.8
2281,MAF,0.8
MAF,2282,0.8
2282,MAF,0.8
MAF,2283,0.81
2283,MAF,0.81
MAF,2284,0.81
2284,MAF,0.81
MAF,2285,0.81
2285,MAF,0.81
MAF,2286,0.81
2286,MAF,0.81
MAF,2287,0.81
2287,MAF,0.81
MAF,2288,0.81
2288,MAF,0.81
MAF,2289,0.81
2289,MAF,0.81
MAF,2290,0.81
2290,MAF,0.81
MAF,2291,0.81
2291,MAF,0.81
MAF,2292,0.81
2292,MAF,0.81
MAF,2293,0.81
2293,MAF,0.81
MAF,2294,0.81
2294,MAF,0.81
MAF,2295,0.81
2295,MAF,0.81
MAF,2296,0.81
2296,MAF,0.81
MAF,2297,0.81
2297,MAF,0.81
MAF,2298,0.81
2298,MAF,0.81
MAF,2299,0.81
2299,MAF,0.81
MAF,2300,0.81
2300,MAF,0.81
MAF,2301,0.81
2301,MAF,0.81
MAF,2302,0.81
2302,MAF,0.81
MAF,2303,0.81
2303,MAF,0.81
MAF,2304,0.81
2304,MAF,0.81
MAF,2305,0.81
2305,MAF,0.81
MAF,2306,0.81
2306,MAF,0.81
MAF,2307,0.81
2307,MAF,0.81
MAF,2308,0.81
2308,MAF,0.81
MAF,2309,0.81
2309,MAF,0.81
MAF,2310,0.81
2310,MAF,0.81
MAF,2311,0.81
2311,MAF,0.81
MAF,2312,0.81
2312,MAF,0.81
MAF,2313,0.81
2313,MAF,0.81
MAF,2314,0.81
2314,MAF,0.81
MAF,2315,0.81
2315,MAF,0.81
MAF,2316,0.81
2316,MAF,0.81
MAF,2317,0.81
2317,MAF,0.81
MAF,2318,0.81
2318,MAF,0.81
MAF,2319,0.81
2319,MAF,0.81
MAF,2320,0.81
2320,MAF,0.81
MAF,2321,0.81
2321,MAF,0.81
MAF,2322,0.81
2322,MAF,0.81
MAF,2323,0.81
2323,MAF,0.81
MAF,2324,0.81
2324,MAF,0.81
MAF,2325,0.81
2325,MAF,0.81
MAF,2326,0.81
2326,MAF,0.81
MAF,2327,0.81
2327,MAF,0.81
MAF,2328,0.81
2328,MAF,0.81
MAF,2329,0.81
2329,MAF,0.81
MAF,2330,0.81
2330,MAF,0.81
MAF,2331,0.81
2331,MAF,0.81
MAF,2332,0.81
2332,MAF,0.81
MAF,2333,0.81
2333,MAF,0.81
MAF,2334,0.81
2334,MAF,0.81
MAF,2335,0.81
2335,MAF,0.81
MAF,2336,0.81
2336,MAF,0.81
MAF,2337,0.81
2337,MAF,0.81
MAF,2338,0.81
2338,MAF,0.81
MAF,2339,0.81
2339,MAF,0.81
MAF,2340,0.81
2340,MAF,0.81
MAF,2341,0.81
2341,MAF,0.81
MAF,2342,0.81
2342,MAF,0.81
MAF,2343,0.81
2343,MAF,0.81
MAF,2344,0.81
2344,MAF,0.81
MAF,2345,0.81
2345,MAF,0.81
MAF,2346,0.81
2346,MAF,0.81
MAF,2347,0.81
2347,MAF,0.81
MAF,2348,0.81
2348,MAF,0.81
MAF,2349,0.81
2349,MAF,0.81
MAF,2350,0.81
2350,MAF,0.81
MAF,2351,0.81
2351,MAF,0.81
MAF,2352,0.81
2352,MAF,0.81
MAF,2353,0.81
2353,MAF,0.81
MAF,2354,0.81
2354,MAF,0.81
MAF,2355,0.81
2355,MAF,0.81
MAF,2356,0.81
2356,MAF,0.81
MAF,2357,0.81
2357,MAF,0.81
MAF,2358,0.81
2358,MAF,0.81
MAF,2359,0.81
2359,MAF,0.81
MAF,2360,0.81
2360,MAF,0.81
MAF,2361,0.81
2361,MAF,0.81
MAF,2362,0.81
2362,MAF,0.81
MAF,2363,0.81
2363,MAF,0.81
MAF,2364,0.81
2364,MAF,0.81
MAF,2365,0.81
2365,MAF,0.81
MAF,2366,0.81
2366,MAF,0.81
MAF,2367,0.81
2367,MAF,0.81
MAF,2368,0.81
2368,MAF,0.81
MAF,2369,0.81
2369,MAF,0.81
MAF,2370,0.81
2370,MAF,0.81
MAF,2371,0.81
2371,MAF,0.81
MAF,2372,0.81
2372,MAF,0.81
MAF,2373,0.81
2373,MAF,0.81
MAF,2374,0.81
2374,MAF,0.81
MAF,2375,0.81
2375,MAF,0.81
MAF,2376,0.81
2376,MAF,0.81
MAF,2377,0.81
2377,MAF,0.81
MAF,2378,0.81
2378,MAF,0.81
MAF,2379,0.81
2379,MAF,0.81
MAF,2380,0.81
2380,MAF,0.81
MAF,2381,0.81
2381,MAF,0.81
MAF,2382,0.81
2382,MAF,0.81
MAF,2383,0.81
2383,MAF,0.81
MAF,2384,0.81
2384,MAF,0.81
MAF,2385,0.81
2385,MAF,0.81
MAF,2386,0.81
2386,MAF,0.81
MAF,2387,0.81
2387,MAF,0.81
MAF,2388,0.81
2388,MAF,0.81
MAF,2389,0.81
2389,MAF,0.81
MAF,2390,0.81
2390,MAF,0.81
MAF,2391,0.81
2391,MAF,0.81
MAF,2392,0.81
2392,MAF,0.81
MAF,2393,0.81
2393,MAF,0.81
MAF,2394,0.81
2394,MAF,0.81
MAF,2395,0.81
2395,MAF,0.81
MAF,2396,0.81
2396,MAF,0.81
MAF,2397,0.81
2397,MAF,0.81
MAF,2398,0.81
2398,MAF,0.81
MAF,2399,0.81
2399,MAF,0.81
MAF,2400,0.81
2400,MAF,0.81
MAF,2401,0.81
2401,MAF,0.81
MAF,2402,0.81
2402,MAF,0.81
MAF,2403,0.81
2403,MAF,0.81
MAF,2404,0.81
2404,MAF,0.81
MAF,2405,0.81
2405,MAF,0.81
MAF,2406,0.81
2406,MAF,0.81
MAF,2407,0.81
2407,MAF,0.81
MAF,2408,0.81
2408,MAF,0.81
MAF,2409,0.81
2409,MAF,0.81
MAF,2410,0.81
2410,MAF,0.81
MAF,2411,0.81
2411,MAF,0.81
MAF,2412,0.81
2412,MAF,0.81
MAF,2413,0.81
2413,MAF,0.81
MAF,2414,0.81
2414,MAF,0.81
MAF,2415,0.81
2415,MAF,0.81
MAF,2416,0.81
2416,MAF,0.81
MAF,2417,0.81
2417,MAF,0.81
MAF,2418,0.81
2418,MAF,0.81
MAF,2419,0.81
2419,MAF,0.81
MAF,2420,0.81
2420,MAF,0.81
MAF,2421,0.81
2421,MAF,0.81
MAF,2422,0.81
2422,MAF,0.81
MAF,2423,0.81
2423,MAF,0.81
MAF,2424,0.81
2424,MAF,0.81
MAF,2425,0.81
2425,MAF,0.81
MAF,2426,0.81
2426,MAF,0.81
MAF,2427,0.81
2427,MAF,0.81
MAF,2428,0.81
2428,MAF,0.81
MAF,2429,0.81
2429,MAF,0.81
MAF,2430,0.81
2430,MAF,0.81
MAF,2431,0.81
2431,MAF,0.81
MAF,2432,0.81
2432,MAF,0.81
MAF,2433,0.81
2433,MAF,0.81
MAF,2434,0.81
2434,MAF,0.81
MAF,2435,0.81
2435,MAF,0.81
MAF,2436,0.81
2436,MAF,0.81
MAF,2437,0.81
2437,MAF,0.81
MAF,2438,0.81
2438,MAF,0.81
MAF,2439,0.81
2439,MAF,0.81
MAF,2440,0.81
2440,MAF,0.81
MAF,2441,0.81
2441,MAF,0.81
MAF,2442,0.81
2442,MAF,0.81
MAF,2443,0.81
2443,MAF,0.81
MAF,2444,0.81
2444,MAF,0.81
MAF,2445,0.81
2445,MAF,0.81
MAF,2446,0.81
2446,MAF,0.81
MAF,2447,0.81
2447,MAF,0.81
MAF,2448,0.81
2448,MAF,0.81
MAF,2449,0.81
2449,MAF,0.81
MAF,2450,0.81
2450,MAF,0.81
MAF,2451,0.81
2451,MAF,0.81
MAF,2452,0.81
2452,MAF,0.81
MAF,2453,0.81
2453,MAF,0.81
MAF,2454,0.81
2454,MAF,0.81
MAF,2455,0.81
2455,MAF,0.81
MAF,2456,0.81
2456,MAF,0.81
MAF,2457,0.81
2457,MAF,0.81
MAF,2458,0.81
2458,MAF,0.81
MAF,2459,0.81
2459,MAF,0.81
MAF,2460,0.81
2460,MAF,0.81
MAF,2461,0.81
2461,MAF,0.81
MAF,2462,0.81
2462,MAF,0.81
MAF,2463,0.81
2463,MAF,0.81
MAF,2464,0.81
2464,MAF,0.81
MAF,2465,0.81
2465,MAF,0.81
MAF,2466,0.81
2466,MAF,0.81
MAF,2467,0.81
2467,MAF,0.81
MAF,2468,0.81
2468,MAF,0.81
MAF,2469,0.81
2469,MAF,0.81
MAF,2470,0.81
2470,MAF,0.81
MAF,2471,0.81
2471,MAF,0.81
MAF,2472,0.81
2472,MAF,0.81
MAF,2473,0.81
2473,MAF,0.81
MAF,2474,0.81
2474,MAF,0.81
MAF,2475,0.81
2475,MAF,0.81
MAF,2476,0.81
2476,MAF,0.81
MAF,2477,0.81
2477,MAF,0.81
MAF,2478,0.81
2478,MAF,0.81
MAF,2479,0.81
2479,MAF,0.81
MAF,2480,0.81
2480,MAF,0.81
MAF,2481,0.81
2481,MAF,0.81
MAF,2482,0.81
2482,MAF,0.81
MAF,2483,0.81
2483,MAF,0.81
MAF,2484,0.81
2484,MAF,0.81
MAF,2485,0.81
2485,MAF,0.81
MAF,2486,0.81
2486,MAF,0.81
MAF,2487,0.81
2487,MAF,0.81
MAF,2488,0.81
2488,MAF,0.81
MAF,2489,0.81
2489,MAF,0.81
MAF,2490,0.81
2490,MAF,0.81
MAF,2491,0.81
2491,MAF,0.81
MAF,2492,0.81
2492,MAF,0.81
MAF,2493,0.81
2493,MAF,0.81
MAF,2494,0.81
2494,MAF,0.81
MAF,2495,0.81
2495,MAF,0.81
MAF,2496,0.81
2496,MAF,0.81
MAF,2497,0.81
2497,MAF,0.81
MAF,2498,0.81
2498,MAF,0.81
MAF,2499,0.81
2499,MAF,0.81
MAF,2500,0.81
2500,MAF,0.81
MAF,2501,0.81
2501,MAF,0.81
MAF,2502,0.81
2502,MAF,0.81
MAF,2503,0.81
2503,MAF,0.81
MAF,2504,0.81
2504,MAF,0.81
MAF,2505,0.81
2505,MAF,0.81
MAF,2506,0.81
2506,MAF,0.81
MAF,2507,0.81
2507,MAF,0.81
MAF,2508,0.81
2508,MAF,0.81
MAF,2509,0.81
2509,MAF,0.81
MAF,2510,0.81
2510,MAF,0.81
MAF,2511,0.81
2511,MAF,0.81
MAF,2512,0.81
2512,MAF,0.81
MAF,2513,0.81
2513,MAF,0.81
MAF,2514,0.81
2514,MAF,0.81
MAF,2515,0.81
2515,MAF,0.81
MAF,2516,0.81
2516,MAF,0.81
MAF,2517,0.81
2517,MAF,0.81
MAF,2518,0.81
2518,MAF,0.81
MAF,2519,0.81
2519,MAF,0.81
MAF,2520,0.81
2520,MAF,0.81
MAF,2521,0.81
2521,MAF,0.81
MAF,2522,0.81
2522,MAF,0.81
MAF,2523,0.81
2523,MAF,0.81
MAF,2524,0.81
2524,MAF,0.81
MAF,2525,0.81
2525,MAF,0.81
MAF,2526,0.81
2526,MAF,0.81
MAF,2527,0.81
2527,MAF,0.81
MAF,2528,0.81
2528,MAF,0.81
MAF,2529,0.81
2529,MAF,0.81
MAF,2530,0.81
2530,MAF,0.81
MAF,2531,0.81
2531,MAF,0.81
MAF,2532,0.81
2532,MAF,0.81
MAF,2533,0.81
2533,MAF,0.81
MAF,2534,0.81
2534,MAF,0.81
MAF,2535,0.81
2535,MAF,0.81
MAF,2536,0.81
2536,MAF,0.81
MAF,2537,0.81
2537,MAF,0.81
MAF,2538,0.81
2538,MAF,0.81
MAF,2539,0.81
2539,MAF,0.81
MAF,2540,0.81
2540,MAF,0.81
MAF,2541,0.81
2541,MAF,0.81
MAF,2542,0.81
2542,MAF,0.81
MAF,2543,0.81
2543,MAF,0.81
MAF,2544,0.81
2544,MAF,0.81
MAF,2545,0.81
2545,MAF,0.81
MAF,2546,0.81
2546,MAF,0.81
MAF,2547,0.81
2547,MAF,0.81
MAF,2548,0.81
2548,MAF,0.81
MAF,2549,0.81
2549,MAF,0.81
MAF,2550,0.81
2550,MAF,0.81
MAF,2551,0.81
2551,MAF,0.81
MAF,2552,0.81
2552,MAF,0.81
MAF,2553,0.81
2553,MAF,0.81
MAF,2554,0.81
2554,MAF,0.81
MAF,2555,0.81
2555,MAF,0.81
MAF,2556,0.81
2556,MAF,0.81
MAF,2557,0.81
2557,MAF,0.81
MAF,2558,0.81
2558,MAF,0.81
MAF,2559,0.81
2559,MAF,0.81
MAF,2560,0.81
2560,MAF,0.81
MAF,2561,0.81
2561,MAF,0.81
MAF,2562,0.81
2562,MAF,0.81
MAF,2563,0.81
2563,MAF,0.81
MAF,2564,0.81
2564,MAF,0.81
MAF,2565,0.81
2565,MAF,0.81
MAF,2566,0.81
2566,MAF,0.81
MAF,2567,0.81
2567,MAF,0.81
MAF,2568,0.81
2568,MAF,0.81
MAF,2569,0.81
2569,MAF,0.81
MAF,2570,0.81
2570,MAF,0.81
MAF,2571,0.81
2571,MAF,0.81
MAF,2572,0.81
2572,MAF,0.81
MAF,2573,0.81
2573,MAF,0.81
MAF,2574,0.81
2574,MAF,0.81
MAF,2575,0.81
2575,MAF,0.81
MAF,2576,0.81
2576,MAF,0.81
MAF,2577,0.81
2577,MAF,0.81
MAF,2578,0.81
2578,MAF,0.81
MAF,2579,0.81
2579,MAF,0.81
MAF,2580,0.81
2580,MAF,0.81
MAF,2581,0.81
2581,MAF,0.81
MAF,2582,0.81
2582,MAF,0.81
MAF,2583,0.81
2583,MAF,0.81
MAF,2584,0.81
2584,MAF,0.81
MAF,2585,0.81
2585,MAF,0.81
MAF,2586,0.81
2586,MAF,0.81
MAF,2587,0.81
2587,MAF,0.81
MAF,2588,0.81
2588,MAF,0.81
MAF,2589,0.81
2589,MAF,0.81
MAF,2590,0.81
2590,MAF,0.81
MAF,2591,0.81
2591,MAF,0.81
MAF,2592,0.81
2592,MAF,0.81
MAF,2593,0.81
2593,MAF,0.81
MAF,2594,0.81
2594,MAF,0.81
MAF,2595,0.81
2595,MAF,0.81
MAF,2596,0.81
2596,MAF,0.81
MAF,2597,0.81
2597,MAF,0.81
MAF,2598,0.81
2598,MAF,0.81
MAF,2599,0.81
2599,MAF,0.81
MAF,2600,0.81
2600,MAF,0.81
MAF,2601,0.81
2601,MAF,0.81
MAF,2602,0.81
2602,MAF,0.81
MAF,2603,0.81
2603,MAF,0.81
MAF,2604,0.81
2604,MAF,0.81
MAF,2605,0.81
2605,MAF,0.81
MAF,2606,0.81
2606,MAF,0.81
MAF,2607,0.81
2607,MAF,0.81
MAF,2608,0.81
2608,MAF,0.81
MAF,2609,0.81
2609,MAF,0.81
MAF,2610,0.81
2610,MAF,0.81
MAF,2611,0.81
2611,MAF,0.81
MAF,2612,0.81
2612,MAF,0.81
MAF,2613,0.81
2613,MAF,0.81
MAF,2614,0.81
2614,MAF,0.81
MAF,2615,0.81
2615,MAF,0.81
MAF,2616,0.81
2616,MAF,0.81
MAF,2617,0.81
2617,MAF,0.81
MAF,2618,0.81
2618,MAF,0.81
MAF,2619,0.81
2619,MAF,0.81
MAF,2620,0.81
2620,MAF,0.81
MAF,2621,0.81
2621,MAF,0.81
MAF,2622,0.81
2622,MAF,0.81
MAF,2623,0.81
2623,MAF,0.81
MAF,2624,0.81
2624,MAF,0.81
MAF,2625,0.81
2625,MAF,0.81
MAF,2626,0.81
2626,MAF,0.81
MAF,2627,0.81
2627,MAF,0.81
MAF,2628,0.81
2628,MAF,0.81
MAF,2629,0.81
2629,MAF,0.81
MAF,2630,0.81
2630,MAF,0.81
MAF,2631,0.81
2631,MAF,0.81
MAF,2632,0.81
2632,MAF,0.81
MAF,2633,0.81
2633,MAF,0.81
MAF,2634,0.81
2634,MAF,0.81
MAF,2635,0.81
2635,MAF,0.81
MAF,2636,0.81
2636,MAF,0.81
MAF,2637,0.81
2637,MAF,0.81
MAF,2638,0.81
2638,MAF,0.81
MAF,2639,0.81
2639,MAF,0.81
MAF,2640,0.81
2640,MAF,0.81
MAF,2641,0.81
2641,MAF,0.81
MAF,2642,0.81
2642,MAF,0.81
MAF,2643,0.81
2643,MAF,0.81
MAF,2644,0.81
2644,MAF,0.81
MAF,2645,0.81
2645,MAF,0.81
MAF,2646,0.81
2646,MAF,0.81
MAF,2647,0.81
2647,MAF,0.81
MAF,2648,0.81
2648,MAF,0.81
MAF,2649,0.81
2649,MAF,0.81
MAF,2650,0.81
2650,MAF,0.81
MAF,2651,0.81
2651,MAF,0.81
MAF,2652,0.81
2652,MAF,0.81
MAF,2653,0.81
2653,MAF,0.81
MAF,2654,0.81
2654,MAF,0.81
MAF,2655,0.81
2655,MAF,0.81
MAF,2656,0.81
2656,MAF,0.81
MAF,2657,0.81
2657,MAF,0.81
MAF,2658,0.81
2658,MAF,0.81
MAF,2659,0.81
2659,MAF,0.81
MAF,2660,0.81
2660,MAF,0.81
MAF,2661,0.81
2661,MAF,0.81
MAF,2662,0.81
2662,MAF,0.81
MAF,2663,0.81
2663,MAF,0.81
MAF,2664,0.81
2664,MAF,0.81
MAF,2665,0.81
2665,MAF,0.81
MAF,2666,0.81
2666,MAF,0.81
MAF,2667,0.81
2667,MAF,0.81
MAF,2668,0.81
2668,MAF,0.81
MAF,2669,0.81
2669,MAF,0.81
MAF,2670,0.81
2670,MAF,0.81
MAF,2671,0.81
2671,MAF,0.81
MAF,2672,0.81
2672,MAF,0.81
MAF,2673,0.81
2673,MAF,0.81
MAF,2674,0.81
2674,MAF,0.81
MAF,2675,0.81
2675,MAF,0.81
MAF,2676,0.81
2676,MAF,0.81
MAF,2677,0.81
2677,MAF,0.81
MAF,2678,0.81
2678,MAF,0.81
MAF,2679,0.81
2679,MAF,0.81
MAF,2680,0.81
2680,MAF,0.81
MAF,2681,0.81
2681,MAF,0.81
MAF,2682,0.81
2682,MAF,0.81
MAF,2683,0.81
2683,MAF,0.81
MAF,2684,0.81
2684,MAF,0.81
MAF,2685,0.81
2685,MAF,0.81
MAF,2686,0.81
2686,MAF,0.81
MAF,2687,0.81
2687,MAF,0.81
MAF,2688,0.81
2688,MAF,0.81
MAF,2689,0.81
2689,MAF,0.81
MAF,2690,0.81
2690,MAF,0.81
MAF,2691,0.81
2691,MAF,0.81
MAF,2692,0.81
2692,MAF,0.81
MAF,2693,0.81
2693,MAF,0.81
MAF,2694,0.81
2694,MAF,0.81
MAF,2695,0.81
2695,MAF,0.81
MAF,2696,0.81
2696,MAF,0.81
MAF,2697,0.81
2697,MAF,0.81
MAF,2698,0.81
2698,MAF,0.81
MAF,2699,0.81
2699,MAF,0.81
MAF,2700,0.81
2700,MAF,0.81
MAF,2701,0.81
2701,MAF,0.81
MAF,2702,0.81
2702,MAF,0.81
MAF,2703,0.81
2703,MAF,0.81
MAF,2704,0.81
2704,MAF,0.81
MAF,2705,0.81
2705,MAF,0.81
MAF,2706,0.81
2706,MAF,0.81
MAF,2707,0.81
2707,MAF,0.81
MAF,2708,0.81
2708,MAF,0.81
MAF,2709,0.81
2709,MAF,0.81
MAF,2710,0.81
2710,MAF,0.81
MAF,2711,0.81
2711,MAF,0.81
MAF,2712,0.81
2712,MAF,0.81
MAF,2713,0.81
2713,MAF,0.81
MAF,2714,0.81
2714,MAF,0.81
MAF,2715,0.81
2715,MAF,0.81
MAF,2716,0.81
2716,MAF,0.81
MAF,2717,0.81
2717,MAF,0.81
MAF,2718,0.81
2718,MAF,0.81
MAF,2719,0.81
2719,MAF,0.81
MAF,2720,0.81
2720,MAF,0.81
MAF,2721,0.81
2721,MAF,0.81
MAF,2722,0.81
2722,MAF,0.81
MAF,2723,0.81
2723,MAF,0.81
MAF,2724,0.81
2724,MAF,0.81
MAF,2725,0.81
2725,MAF,0.81
MAF,2726,0.81
2726,MAF,0.81
MAF,2727,0.81
2727,MAF,0.81
MAF,2728,0.81
2728,MAF,0.81
MAF,2729,0.81
2729,MAF,0.81
MAF,2730,0.81
2730,MAF,0.81
MAF,2731,0.81
2731,MAF,0.81
MAF,2732,0.81
2732,MAF,0.81
MAF,2733,0.81
2733,MAF,0.81
MAF,2734,0.81
2734,MAF,0.81
MAF,2735,0.81
2735,MAF,0.81
MAF,2736,0.81
2736,MAF,0.81
MAF,2737,0.81
2737,MAF,0.81
MAF,2738,0.81
2738,MAF,0.81
MAF,2739,0.81
2739,MAF,0.81
MAF,2740,0.81
2740,MAF,0.81
MAF,2741,0.81
2741,MAF,0.81
MAF,2742,0.81
2742,MAF,0.81
MAF,2743,0.81
2743,MAF,0.81
MAF,2744,0.81
2744,MAF,0.81
MAF,2745,0.81
2745,MAF,0.81
MAF,2746,0.81
2746,MAF,0.81
MAF,2747,0.81
2747,MAF,0.81
MAF,2748,0.81
2748,MAF,0.81
MAF,2749,0.81
2749,MAF,0.81
MAF,2750,0.81
2750,MAF,0.81
MAF,2751,0.81
2751,MAF,0.81
MAF,2752,0.81
2752,MAF,0.81
MAF,2753,0.81
2753,MAF,0.81
MAF,2754,0.81
2754,MAF,0.81
MAF,2755,0.81
2755,MAF,0.81
MAF,2756,0.81
2756,MAF,0.81
MAF,2757,0.81
2757,MAF,0.81
MAF,2758,0.81
2758,MAF,0.81
MAF,2759,0.81
2759,MAF,0.81
MAF,2760,0.81
2760,MAF,0.81
MAF,2761,0.81
2761,MAF,0.81
MAF,2762,0.81
2762,MAF,0.81
MAF,2763,0.81
2763,MAF,0.81
MAF,2764,0.81
2764,MAF,0.81
MAF,2765,0.81
2765,MAF,0.81
MAF,2766,0.81
2766,MAF,0.81
MAF,2767,0.81
2767,MAF,0.81
MAF,2768,0.81
2768,MAF,0.81
MAF,2769,0.81
2769,MAF,0.81
MAF,2770,0.81
2770,MAF,0.81
MAF,2771,0.81
2771,MAF,0.81
MAF,2772,0.81
2772,MAF,0.81
MAF,2773,0.81
2773,MAF,0.81
MAF,2774,0.81
2774,MAF,0.81
MAF,2775,0.81
2775,MAF,0.81
MAF,2776,0.81
2776,MAF,0.81
MAF,2777,0.81
2777,MAF,0.81
MAF,2778,0.81
2778,MAF,0.81
MAF,2779,0.81
2779,MAF,0.81
MAF,2780,0.81
2780,MAF,0.81
MAF,2781,0.81
2781,MAF,0.81
MAF,2782,0.81
2782,MAF,0.81
MAF,2783,0.81
2783,MAF,0.81
MAF,2784,0.81
2784,MAF,0.81
MAF,2785,0.81
2785,MAF,0.81
MAF,2786,0.81
2786,MAF,0.81
MAF,2787,0.81
2787,MAF,0.81
MAF,2788,0.81
2788,MAF,0.81
MAF,2789,0.81
2789,MAF,0.81
MAF,2790,0.81
2790,MAF,0.81
MAF,2791,0.81
2791,MAF,0.81
MAF,2792,0.81
2792,MAF,0.81
MAF,2793,0.81
2793,MAF,0.81
MAF,2794,0.81
2794,MAF,0.81
MAF,2795,0.81
2795,MAF,0.81
MAF,2796,0.81
2796,MAF,0.81
MAF,2797,0.81
2797,MAF,0.81
MAF,2798,0.81
2798,MAF,0.81
MAF,2799,0.81
2799,MAF,0.81
MAF,2800,0.81
2800,MAF,0.81
MAF,2801,0.81
2801,MAF,0.81
MAF,2802,0.81
2802,MAF,0.81
MAF,2803,0.81
2803,MAF,0.81
MAF,2804,0.81
2804,MAF,0.81
MAF,2805,0.81
2805,MAF,0.81
MAF,2806,0.81
2806,MAF,0.81
MAF,2807,0.81
2807,MAF,0.81
