Timestep,Region,n2oem
2411,USA,1.61
USA,2412,1.61
2412,USA,1.61
USA,2413,1.61
2413,USA,1.61
USA,2414,1.61
2414,USA,1.61
USA,2415,1.61
2415,USA,1.61
USA,2416,1.61
2416,USA,1.61
USA,2417,1.61
2417,USA,1.61
USA,2418,1.61
2418,USA,1.61
USA,2419,1.61
2419,USA,1.61
USA,2420,1.61
2420,USA,1.61
USA,2421,1.61
2421,USA,1.61
USA,2422,1.61
2422,USA,1.61
USA,2423,1.61
2423,USA,1.61
USA,2424,1.61
2424,USA,1.61
USA,2425,1.61
2425,USA,1.61
USA,2426,1.61
2426,USA,1.61
USA,2427,1.61
2427,USA,1.61
USA,2428,1.61
2428,USA,1.61
USA,2429,1.61
2429,USA,1.61
USA,2430,1.61
2430,USA,1.61
USA,2431,1.61
2431,USA,1.61
USA,2432,1.61
2432,USA,1.61
USA,2433,1.61
2433,USA,1.61
USA,2434,1.61
2434,USA,1.61
USA,2435,1.61
2435,USA,1.61
USA,2436,1.61
2436,USA,1.61
USA,2437,1.61
2437,USA,1.61
USA,2438,1.61
2438,USA,1.61
USA,2439,1.61
2439,USA,1.61
USA,2440,1.61
2440,USA,1.61
USA,2441,1.61
2441,USA,1.61
USA,2442,1.61
2442,USA,1.61
USA,2443,1.61
2443,USA,1.61
USA,2444,1.61
2444,USA,1.61
USA,2445,1.61
2445,USA,1.61
USA,2446,1.61
2446,USA,1.61
USA,2447,1.61
2447,USA,1.61
USA,2448,1.61
2448,USA,1.61
USA,2449,1.61
2449,USA,1.61
USA,2450,1.61
2450,USA,1.61
USA,2451,1.61
2451,USA,1.61
USA,2452,1.61
2452,USA,1.61
USA,2453,1.61
2453,USA,1.61
USA,2454,1.61
2454,USA,1.61
USA,2455,1.61
2455,USA,1.61
USA,2456,1.61
2456,USA,1.61
USA,2457,1.61
2457,USA,1.61
USA,2458,1.61
2458,USA,1.61
USA,2459,1.61
2459,USA,1.61
USA,2460,1.61
2460,USA,1.61
USA,2461,1.61
2461,USA,1.61
USA,2462,1.61
2462,USA,1.61
