Timestep,Region,ch4em
CHI,2205,190.9
2205,CHI,190.9
CHI,2206,191.6
2206,CHI,191.6
CHI,2207,192.4
2207,CHI,192.4
CHI,2208,193.2
2208,CHI,193.2
CHI,2209,194
2209,CHI,194
CHI,2210,194.8
2210,CHI,194.8
CHI,2211,195.6
2211,CHI,195.6
CHI,2212,196.4
2212,CHI,196.4
CHI,2213,197.2
2213,CHI,197.2
CHI,2214,198
2214,CHI,198
CHI,2215,198.8
2215,CHI,198.8
CHI,2216,199.6
2216,CHI,199.6
CHI,2217,200.4
2217,CHI,200.4
CHI,2218,201.1
2218,CHI,201.1
CHI,2219,201.9
2219,CHI,201.9
CHI,2220,202.7
2220,CHI,202.7
CHI,2221,203.5
2221,CHI,203.5
CHI,2222,204.3
2222,CHI,204.3
CHI,2223,205.1
2223,CHI,205.1
CHI,2224,205.9
2224,CHI,205.9
CHI,2225,206.7
2225,CHI,206.7
CHI,2226,207.5
2226,CHI,207.5
CHI,2227,208.3
2227,CHI,208.3
CHI,2228,209.1
2228,CHI,209.1
CHI,2229,209.9
2229,CHI,209.9
CHI,2230,210.6
2230,CHI,210.6
CHI,2231,211.4
2231,CHI,211.4
CHI,2232,212.2
2232,CHI,212.2
CHI,2233,213
2233,CHI,213
CHI,2234,213.8
2234,CHI,213.8
CHI,2235,214.6
2235,CHI,214.6
CHI,2236,215.4
2236,CHI,215.4
CHI,2237,216.2
2237,CHI,216.2
CHI,2238,217
2238,CHI,217
CHI,2239,217.8
2239,CHI,217.8
CHI,2240,218.6
2240,CHI,218.6
CHI,2241,219.3
2241,CHI,219.3
CHI,2242,220.1
2242,CHI,220.1
CHI,2243,220.9
2243,CHI,220.9
CHI,2244,221.7
2244,CHI,221.7
CHI,2245,222.5
2245,CHI,222.5
CHI,2246,223.3
2246,CHI,223.3
CHI,2247,224.1
2247,CHI,224.1
CHI,2248,224.9
2248,CHI,224.9
CHI,2249,225.7
2249,CHI,225.7
CHI,2250,226.5
2250,CHI,226.5
CHI,2251,227.3
2251,CHI,227.3
CHI,2252,228.1
2252,CHI,228.1
CHI,2253,228.8
2253,CHI,228.8
CHI,2254,229.6
2254,CHI,229.6
CHI,2255,230.4
2255,CHI,230.4
CHI,2256,231.2
2256,CHI,231.2
CHI,2257,232
2257,CHI,232
CHI,2258,232.8
2258,CHI,232.8
CHI,2259,233.6
2259,CHI,233.6
CHI,2260,234.4
2260,CHI,234.4
CHI,2261,235.2
2261,CHI,235.2
CHI,2262,236
2262,CHI,236
CHI,2263,236.8
2263,CHI,236.8
CHI,2264,237.6
2264,CHI,237.6
CHI,2265,238.3
2265,CHI,238.3
CHI,2266,239.1
2266,CHI,239.1
CHI,2267,239.9
2267,CHI,239.9
CHI,2268,240.7
2268,CHI,240.7
CHI,2269,241.5
2269,CHI,241.5
CHI,2270,242.3
2270,CHI,242.3
CHI,2271,243.1
2271,CHI,243.1
CHI,2272,243.9
2272,CHI,243.9
CHI,2273,244.7
2273,CHI,244.7
CHI,2274,245.5
2274,CHI,245.5
CHI,2275,246.3
2275,CHI,246.3
CHI,2276,247
2276,CHI,247
CHI,2277,247.8
2277,CHI,247.8
CHI,2278,248.6
2278,CHI,248.6
CHI,2279,249.4
2279,CHI,249.4
CHI,2280,250.2
2280,CHI,250.2
CHI,2281,251
2281,CHI,251
CHI,2282,251.8
2282,CHI,251.8
CHI,2283,252.6
2283,CHI,252.6
CHI,2284,253.4
2284,CHI,253.4
CHI,2285,254.2
2285,CHI,254.2
CHI,2286,255
2286,CHI,255
CHI,2287,255.8
2287,CHI,255.8
CHI,2288,256.5
2288,CHI,256.5
CHI,2289,257.3
2289,CHI,257.3
CHI,2290,258.1
2290,CHI,258.1
CHI,2291,258.9
2291,CHI,258.9
CHI,2292,259.7
2292,CHI,259.7
CHI,2293,260.5
2293,CHI,260.5
CHI,2294,261.3
2294,CHI,261.3
CHI,2295,262.1
2295,CHI,262.1
CHI,2296,262.9
2296,CHI,262.9
CHI,2297,263.7
2297,CHI,263.7
CHI,2298,264.5
2298,CHI,264.5
CHI,2299,265.3
2299,CHI,265.3
CHI,2300,266
2300,CHI,266
CHI,2301,266
2301,CHI,266
CHI,2302,266
2302,CHI,266
CHI,2303,266
2303,CHI,266
CHI,2304,266
2304,CHI,266
CHI,2305,266
2305,CHI,266
CHI,2306,266
2306,CHI,266
CHI,2307,266
2307,CHI,266
CHI,2308,266
2308,CHI,266
CHI,2309,266
2309,CHI,266
CHI,2310,266
2310,CHI,266
CHI,2311,266
2311,CHI,266
CHI,2312,266
2312,CHI,266
CHI,2313,266
2313,CHI,266
CHI,2314,266
2314,CHI,266
CHI,2315,266
2315,CHI,266
CHI,2316,266
2316,CHI,266
CHI,2317,266
2317,CHI,266
CHI,2318,266
2318,CHI,266
CHI,2319,266
2319,CHI,266
CHI,2320,266
2320,CHI,266
CHI,2321,266
2321,CHI,266
CHI,2322,266
2322,CHI,266
CHI,2323,266
2323,CHI,266
CHI,2324,266
2324,CHI,266
CHI,2325,266
2325,CHI,266
CHI,2326,266
2326,CHI,266
CHI,2327,266
2327,CHI,266
CHI,2328,266
2328,CHI,266
CHI,2329,266
2329,CHI,266
CHI,2330,266
2330,CHI,266
CHI,2331,266
2331,CHI,266
CHI,2332,266
2332,CHI,266
CHI,2333,266
2333,CHI,266
CHI,2334,266
2334,CHI,266
CHI,2335,266
2335,CHI,266
CHI,2336,266
2336,CHI,266
CHI,2337,266
2337,CHI,266
CHI,2338,266
2338,CHI,266
CHI,2339,266
2339,CHI,266
CHI,2340,266
2340,CHI,266
CHI,2341,266
2341,CHI,266
CHI,2342,266
2342,CHI,266
CHI,2343,266
2343,CHI,266
CHI,2344,266
2344,CHI,266
CHI,2345,266
2345,CHI,266
CHI,2346,266
2346,CHI,266
CHI,2347,266
2347,CHI,266
CHI,2348,266
2348,CHI,266
CHI,2349,266
2349,CHI,266
CHI,2350,266
2350,CHI,266
CHI,2351,266
2351,CHI,266
CHI,2352,266
2352,CHI,266
CHI,2353,266
2353,CHI,266
CHI,2354,266
2354,CHI,266
CHI,2355,266
2355,CHI,266
CHI,2356,266
2356,CHI,266
CHI,2357,266
2357,CHI,266
CHI,2358,266
2358,CHI,266
CHI,2359,266
2359,CHI,266
CHI,2360,266
2360,CHI,266
CHI,2361,266
2361,CHI,266
CHI,2362,266
2362,CHI,266
CHI,2363,266
2363,CHI,266
CHI,2364,266
2364,CHI,266
CHI,2365,266
2365,CHI,266
CHI,2366,266
2366,CHI,266
CHI,2367,266
2367,CHI,266
CHI,2368,266
2368,CHI,266
CHI,2369,266
2369,CHI,266
CHI,2370,266
2370,CHI,266
CHI,2371,266
2371,CHI,266
CHI,2372,266
2372,CHI,266
CHI,2373,266
2373,CHI,266
CHI,2374,266
2374,CHI,266
CHI,2375,266
2375,CHI,266
CHI,2376,266
2376,CHI,266
CHI,2377,266
2377,CHI,266
CHI,2378,266
2378,CHI,266
CHI,2379,266
2379,CHI,266
CHI,2380,266
2380,CHI,266
CHI,2381,266
2381,CHI,266
CHI,2382,266
2382,CHI,266
CHI,2383,266
2383,CHI,266
CHI,2384,266
2384,CHI,266
CHI,2385,266
2385,CHI,266
CHI,2386,266
2386,CHI,266
CHI,2387,266
2387,CHI,266
CHI,2388,266
2388,CHI,266
CHI,2389,266
2389,CHI,266
CHI,2390,266
2390,CHI,266
CHI,2391,266
2391,CHI,266
CHI,2392,266
2392,CHI,266
CHI,2393,266
2393,CHI,266
CHI,2394,266
2394,CHI,266
CHI,2395,266
2395,CHI,266
CHI,2396,266
2396,CHI,266
CHI,2397,266
2397,CHI,266
CHI,2398,266
2398,CHI,266
CHI,2399,266
2399,CHI,266
CHI,2400,266
2400,CHI,266
CHI,2401,266
2401,CHI,266
CHI,2402,266
2402,CHI,266
CHI,2403,266
2403,CHI,266
CHI,2404,266
2404,CHI,266
CHI,2405,266
2405,CHI,266
CHI,2406,266
2406,CHI,266
CHI,2407,266
2407,CHI,266
CHI,2408,266
2408,CHI,266
CHI,2409,266
2409,CHI,266
CHI,2410,266
2410,CHI,266
CHI,2411,266
2411,CHI,266
CHI,2412,266
2412,CHI,266
CHI,2413,266
2413,CHI,266
CHI,2414,266
2414,CHI,266
CHI,2415,266
2415,CHI,266
CHI,2416,266
2416,CHI,266
CHI,2417,266
2417,CHI,266
CHI,2418,266
2418,CHI,266
CHI,2419,266
2419,CHI,266
CHI,2420,266
2420,CHI,266
CHI,2421,266
2421,CHI,266
CHI,2422,266
2422,CHI,266
CHI,2423,266
2423,CHI,266
CHI,2424,266
2424,CHI,266
CHI,2425,266
2425,CHI,266
CHI,2426,266
2426,CHI,266
CHI,2427,266
2427,CHI,266
CHI,2428,266
2428,CHI,266
CHI,2429,266
2429,CHI,266
CHI,2430,266
2430,CHI,266
CHI,2431,266
2431,CHI,266
CHI,2432,266
2432,CHI,266
CHI,2433,266
2433,CHI,266
CHI,2434,266
2434,CHI,266
CHI,2435,266
2435,CHI,266
CHI,2436,266
2436,CHI,266
CHI,2437,266
2437,CHI,266
CHI,2438,266
2438,CHI,266
CHI,2439,266
2439,CHI,266
CHI,2440,266
2440,CHI,266
CHI,2441,266
2441,CHI,266
CHI,2442,266
2442,CHI,266
CHI,2443,266
2443,CHI,266
CHI,2444,266
2444,CHI,266
CHI,2445,266
2445,CHI,266
CHI,2446,266
2446,CHI,266
CHI,2447,266
2447,CHI,266
CHI,2448,266
2448,CHI,266
CHI,2449,266
2449,CHI,266
CHI,2450,266
2450,CHI,266
CHI,2451,266
2451,CHI,266
CHI,2452,266
2452,CHI,266
CHI,2453,266
2453,CHI,266
CHI,2454,266
2454,CHI,266
CHI,2455,266
2455,CHI,266
CHI,2456,266
2456,CHI,266
CHI,2457,266
2457,CHI,266
CHI,2458,266
2458,CHI,266
CHI,2459,266
2459,CHI,266
CHI,2460,266
2460,CHI,266
CHI,2461,266
2461,CHI,266
CHI,2462,266
2462,CHI,266
CHI,2463,266
2463,CHI,266
CHI,2464,266
2464,CHI,266
CHI,2465,266
2465,CHI,266
CHI,2466,266
2466,CHI,266
CHI,2467,266
2467,CHI,266
CHI,2468,266
2468,CHI,266
CHI,2469,266
2469,CHI,266
CHI,2470,266
2470,CHI,266
CHI,2471,266
2471,CHI,266
CHI,2472,266
2472,CHI,266
CHI,2473,266
2473,CHI,266
CHI,2474,266
2474,CHI,266
CHI,2475,266
2475,CHI,266
CHI,2476,266
2476,CHI,266
CHI,2477,266
2477,CHI,266
CHI,2478,266
2478,CHI,266
CHI,2479,266
2479,CHI,266
CHI,2480,266
2480,CHI,266
CHI,2481,266
2481,CHI,266
CHI,2482,266
2482,CHI,266
CHI,2483,266
2483,CHI,266
CHI,2484,266
2484,CHI,266
CHI,2485,266
2485,CHI,266
CHI,2486,266
2486,CHI,266
CHI,2487,266
2487,CHI,266
CHI,2488,266
2488,CHI,266
CHI,2489,266
2489,CHI,266
CHI,2490,266
2490,CHI,266
CHI,2491,266
2491,CHI,266
CHI,2492,266
2492,CHI,266
CHI,2493,266
2493,CHI,266
CHI,2494,266
2494,CHI,266
CHI,2495,266
2495,CHI,266
CHI,2496,266
2496,CHI,266
CHI,2497,266
2497,CHI,266
CHI,2498,266
2498,CHI,266
CHI,2499,266
2499,CHI,266
CHI,2500,266
2500,CHI,266
CHI,2501,266
2501,CHI,266
CHI,2502,266
2502,CHI,266
CHI,2503,266
2503,CHI,266
CHI,2504,266
2504,CHI,266
CHI,2505,266
2505,CHI,266
CHI,2506,266
2506,CHI,266
CHI,2507,266
2507,CHI,266
CHI,2508,266
2508,CHI,266
CHI,2509,266
2509,CHI,266
CHI,2510,266
2510,CHI,266
CHI,2511,266
2511,CHI,266
CHI,2512,266
2512,CHI,266
CHI,2513,266
2513,CHI,266
CHI,2514,266
2514,CHI,266
CHI,2515,266
2515,CHI,266
CHI,2516,266
2516,CHI,266
CHI,2517,266
2517,CHI,266
CHI,2518,266
2518,CHI,266
CHI,2519,266
2519,CHI,266
CHI,2520,266
2520,CHI,266
CHI,2521,266
2521,CHI,266
CHI,2522,266
2522,CHI,266
CHI,2523,266
2523,CHI,266
CHI,2524,266
2524,CHI,266
CHI,2525,266
2525,CHI,266
CHI,2526,266
2526,CHI,266
CHI,2527,266
2527,CHI,266
CHI,2528,266
2528,CHI,266
CHI,2529,266
2529,CHI,266
CHI,2530,266
2530,CHI,266
CHI,2531,266
2531,CHI,266
CHI,2532,266
2532,CHI,266
CHI,2533,266
2533,CHI,266
CHI,2534,266
2534,CHI,266
CHI,2535,266
2535,CHI,266
CHI,2536,266
2536,CHI,266
CHI,2537,266
2537,CHI,266
CHI,2538,266
2538,CHI,266
CHI,2539,266
2539,CHI,266
CHI,2540,266
2540,CHI,266
CHI,2541,266
2541,CHI,266
CHI,2542,266
2542,CHI,266
CHI,2543,266
2543,CHI,266
CHI,2544,266
2544,CHI,266
CHI,2545,266
2545,CHI,266
CHI,2546,266
2546,CHI,266
CHI,2547,266
2547,CHI,266
CHI,2548,266
2548,CHI,266
CHI,2549,266
2549,CHI,266
CHI,2550,266
2550,CHI,266
CHI,2551,266
2551,CHI,266
CHI,2552,266
2552,CHI,266
CHI,2553,266
2553,CHI,266
CHI,2554,266
2554,CHI,266
CHI,2555,266
2555,CHI,266
CHI,2556,266
2556,CHI,266
CHI,2557,266
2557,CHI,266
CHI,2558,266
2558,CHI,266
CHI,2559,266
2559,CHI,266
CHI,2560,266
2560,CHI,266
CHI,2561,266
2561,CHI,266
CHI,2562,266
2562,CHI,266
CHI,2563,266
2563,CHI,266
CHI,2564,266
2564,CHI,266
CHI,2565,266
2565,CHI,266
CHI,2566,266
2566,CHI,266
CHI,2567,266
2567,CHI,266
CHI,2568,266
2568,CHI,266
CHI,2569,266
2569,CHI,266
CHI,2570,266
2570,CHI,266
CHI,2571,266
2571,CHI,266
CHI,2572,266
2572,CHI,266
CHI,2573,266
2573,CHI,266
CHI,2574,266
2574,CHI,266
CHI,2575,266
2575,CHI,266
CHI,2576,266
2576,CHI,266
CHI,2577,266
2577,CHI,266
CHI,2578,266
2578,CHI,266
CHI,2579,266
2579,CHI,266
CHI,2580,266
2580,CHI,266
CHI,2581,266
2581,CHI,266
CHI,2582,266
2582,CHI,266
CHI,2583,266
2583,CHI,266
CHI,2584,266
2584,CHI,266
CHI,2585,266
2585,CHI,266
CHI,2586,266
2586,CHI,266
CHI,2587,266
2587,CHI,266
CHI,2588,266
2588,CHI,266
CHI,2589,266
2589,CHI,266
CHI,2590,266
2590,CHI,266
CHI,2591,266
2591,CHI,266
CHI,2592,266
2592,CHI,266
CHI,2593,266
2593,CHI,266
CHI,2594,266
2594,CHI,266
CHI,2595,266
2595,CHI,266
CHI,2596,266
2596,CHI,266
CHI,2597,266
2597,CHI,266
CHI,2598,266
2598,CHI,266
CHI,2599,266
2599,CHI,266
CHI,2600,266
2600,CHI,266
CHI,2601,266
2601,CHI,266
CHI,2602,266
2602,CHI,266
CHI,2603,266
2603,CHI,266
CHI,2604,266
2604,CHI,266
CHI,2605,266
2605,CHI,266
CHI,2606,266
2606,CHI,266
CHI,2607,266
2607,CHI,266
CHI,2608,266
2608,CHI,266
CHI,2609,266
2609,CHI,266
CHI,2610,266
2610,CHI,266
CHI,2611,266
2611,CHI,266
CHI,2612,266
2612,CHI,266
CHI,2613,266
2613,CHI,266
CHI,2614,266
2614,CHI,266
CHI,2615,266
2615,CHI,266
CHI,2616,266
2616,CHI,266
CHI,2617,266
2617,CHI,266
CHI,2618,266
2618,CHI,266
CHI,2619,266
2619,CHI,266
CHI,2620,266
2620,CHI,266
CHI,2621,266
2621,CHI,266
CHI,2622,266
2622,CHI,266
CHI,2623,266
2623,CHI,266
CHI,2624,266
2624,CHI,266
CHI,2625,266
2625,CHI,266
CHI,2626,266
2626,CHI,266
CHI,2627,266
2627,CHI,266
CHI,2628,266
2628,CHI,266
CHI,2629,266
2629,CHI,266
CHI,2630,266
2630,CHI,266
CHI,2631,266
2631,CHI,266
CHI,2632,266
2632,CHI,266
CHI,2633,266
2633,CHI,266
CHI,2634,266
2634,CHI,266
CHI,2635,266
2635,CHI,266
CHI,2636,266
2636,CHI,266
CHI,2637,266
2637,CHI,266
CHI,2638,266
2638,CHI,266
CHI,2639,266
2639,CHI,266
CHI,2640,266
2640,CHI,266
CHI,2641,266
2641,CHI,266
CHI,2642,266
2642,CHI,266
CHI,2643,266
2643,CHI,266
CHI,2644,266
2644,CHI,266
CHI,2645,266
2645,CHI,266
CHI,2646,266
2646,CHI,266
CHI,2647,266
2647,CHI,266
CHI,2648,266
2648,CHI,266
CHI,2649,266
2649,CHI,266
CHI,2650,266
2650,CHI,266
CHI,2651,266
2651,CHI,266
CHI,2652,266
2652,CHI,266
CHI,2653,266
2653,CHI,266
CHI,2654,266
2654,CHI,266
CHI,2655,266
2655,CHI,266
CHI,2656,266
2656,CHI,266
CHI,2657,266
2657,CHI,266
CHI,2658,266
2658,CHI,266
CHI,2659,266
2659,CHI,266
CHI,2660,266
2660,CHI,266
CHI,2661,266
2661,CHI,266
CHI,2662,266
2662,CHI,266
CHI,2663,266
2663,CHI,266
CHI,2664,266
2664,CHI,266
CHI,2665,266
2665,CHI,266
CHI,2666,266
2666,CHI,266
CHI,2667,266
2667,CHI,266
CHI,2668,266
2668,CHI,266
CHI,2669,266
2669,CHI,266
CHI,2670,266
2670,CHI,266
CHI,2671,266
2671,CHI,266
CHI,2672,266
2672,CHI,266
CHI,2673,266
2673,CHI,266
CHI,2674,266
2674,CHI,266
CHI,2675,266
2675,CHI,266
CHI,2676,266
2676,CHI,266
CHI,2677,266
2677,CHI,266
CHI,2678,266
2678,CHI,266
CHI,2679,266
2679,CHI,266
CHI,2680,266
2680,CHI,266
CHI,2681,266
2681,CHI,266
CHI,2682,266
2682,CHI,266
CHI,2683,266
2683,CHI,266
CHI,2684,266
2684,CHI,266
CHI,2685,266
2685,CHI,266
CHI,2686,266
2686,CHI,266
CHI,2687,266
2687,CHI,266
CHI,2688,266
2688,CHI,266
CHI,2689,266
2689,CHI,266
CHI,2690,266
2690,CHI,266
CHI,2691,266
2691,CHI,266
CHI,2692,266
2692,CHI,266
CHI,2693,266
2693,CHI,266
CHI,2694,266
2694,CHI,266
CHI,2695,266
2695,CHI,266
CHI,2696,266
2696,CHI,266
CHI,2697,266
2697,CHI,266
CHI,2698,266
2698,CHI,266
CHI,2699,266
2699,CHI,266
CHI,2700,266
2700,CHI,266
CHI,2701,266
2701,CHI,266
CHI,2702,266
2702,CHI,266
CHI,2703,266
2703,CHI,266
CHI,2704,266
2704,CHI,266
CHI,2705,266
2705,CHI,266
CHI,2706,266
2706,CHI,266
CHI,2707,266
2707,CHI,266
CHI,2708,266
2708,CHI,266
CHI,2709,266
2709,CHI,266
CHI,2710,266
2710,CHI,266
CHI,2711,266
2711,CHI,266
CHI,2712,266
2712,CHI,266
CHI,2713,266
2713,CHI,266
CHI,2714,266
2714,CHI,266
CHI,2715,266
2715,CHI,266
CHI,2716,266
2716,CHI,266
CHI,2717,266
2717,CHI,266
CHI,2718,266
2718,CHI,266
CHI,2719,266
2719,CHI,266
CHI,2720,266
2720,CHI,266
CHI,2721,266
2721,CHI,266
CHI,2722,266
2722,CHI,266
CHI,2723,266
2723,CHI,266
CHI,2724,266
2724,CHI,266
CHI,2725,266
2725,CHI,266
CHI,2726,266
2726,CHI,266
CHI,2727,266
2727,CHI,266
CHI,2728,266
2728,CHI,266
CHI,2729,266
2729,CHI,266
CHI,2730,266
2730,CHI,266
CHI,2731,266
2731,CHI,266
CHI,2732,266
2732,CHI,266
CHI,2733,266
2733,CHI,266
CHI,2734,266
2734,CHI,266
CHI,2735,266
2735,CHI,266
CHI,2736,266
2736,CHI,266
CHI,2737,266
2737,CHI,266
CHI,2738,266
2738,CHI,266
CHI,2739,266
2739,CHI,266
CHI,2740,266
2740,CHI,266
CHI,2741,266
2741,CHI,266
CHI,2742,266
2742,CHI,266
CHI,2743,266
2743,CHI,266
CHI,2744,266
2744,CHI,266
CHI,2745,266
2745,CHI,266
CHI,2746,266
2746,CHI,266
CHI,2747,266
2747,CHI,266
CHI,2748,266
2748,CHI,266
CHI,2749,266
2749,CHI,266
CHI,2750,266
2750,CHI,266
CHI,2751,266
2751,CHI,266
CHI,2752,266
2752,CHI,266
CHI,2753,266
2753,CHI,266
CHI,2754,266
2754,CHI,266
CHI,2755,266
2755,CHI,266
CHI,2756,266
2756,CHI,266
CHI,2757,266
2757,CHI,266
CHI,2758,266
2758,CHI,266
CHI,2759,266
2759,CHI,266
CHI,2760,266
2760,CHI,266
CHI,2761,266
2761,CHI,266
CHI,2762,266
2762,CHI,266
CHI,2763,266
2763,CHI,266
CHI,2764,266
2764,CHI,266
CHI,2765,266
2765,CHI,266
CHI,2766,266
2766,CHI,266
CHI,2767,266
2767,CHI,266
CHI,2768,266
2768,CHI,266
CHI,2769,266
2769,CHI,266
CHI,2770,266
2770,CHI,266
CHI,2771,266
2771,CHI,266
CHI,2772,266
2772,CHI,266
CHI,2773,266
2773,CHI,266
CHI,2774,266
2774,CHI,266
CHI,2775,266
2775,CHI,266
CHI,2776,266
2776,CHI,266
CHI,2777,266
2777,CHI,266
CHI,2778,266
2778,CHI,266
CHI,2779,266
2779,CHI,266
CHI,2780,266
2780,CHI,266
CHI,2781,266
2781,CHI,266
CHI,2782,266
2782,CHI,266
CHI,2783,266
2783,CHI,266
CHI,2784,266
2784,CHI,266
CHI,2785,266
2785,CHI,266
CHI,2786,266
2786,CHI,266
CHI,2787,266
2787,CHI,266
CHI,2788,266
2788,CHI,266
CHI,2789,266
2789,CHI,266
CHI,2790,266
2790,CHI,266
CHI,2791,266
2791,CHI,266
CHI,2792,266
2792,CHI,266
CHI,2793,266
2793,CHI,266
CHI,2794,266
2794,CHI,266
CHI,2795,266
2795,CHI,266
CHI,2796,266
2796,CHI,266
CHI,2797,266
2797,CHI,266
CHI,2798,266
2798,CHI,266
CHI,2799,266
2799,CHI,266
CHI,2800,266
2800,CHI,266
CHI,2801,266
2801,CHI,266
CHI,2802,266
2802,CHI,266
CHI,2803,266
2803,CHI,266
CHI,2804,266
2804,CHI,266
CHI,2805,266
2805,CHI,266
CHI,2806,266
2806,CHI,266
CHI,2807,266
2807,CHI,266
CHI,2808,266
2808,CHI,266
CHI,2809,266
2809,CHI,266
CHI,2810,266
2810,CHI,266
CHI,2811,266
2811,CHI,266
CHI,2812,266
2812,CHI,266
CHI,2813,266
2813,CHI,266
CHI,2814,266
2814,CHI,266
CHI,2815,266
2815,CHI,266
CHI,2816,266
2816,CHI,266
CHI,2817,266
2817,CHI,266
CHI,2818,266
2818,CHI,266
CHI,2819,266
2819,CHI,266
CHI,2820,266
2820,CHI,266
CHI,2821,266
2821,CHI,266
CHI,2822,266
2822,CHI,266
CHI,2823,266
2823,CHI,266
CHI,2824,266
2824,CHI,266
CHI,2825,266
2825,CHI,266
CHI,2826,266
2826,CHI,266
CHI,2827,266
2827,CHI,266
CHI,2828,266
2828,CHI,266
CHI,2829,266
2829,CHI,266
CHI,2830,266
2830,CHI,266
CHI,2831,266
2831,CHI,266
CHI,2832,266
2832,CHI,266
CHI,2833,266
2833,CHI,266
CHI,2834,266
2834,CHI,266
CHI,2835,266
2835,CHI,266
CHI,2836,266
2836,CHI,266
CHI,2837,266
2837,CHI,266
CHI,2838,266
2838,CHI,266
CHI,2839,266
2839,CHI,266
CHI,2840,266
2840,CHI,266
CHI,2841,266
2841,CHI,266
CHI,2842,266
2842,CHI,266
CHI,2843,266
2843,CHI,266
CHI,2844,266
2844,CHI,266
CHI,2845,266
2845,CHI,266
CHI,2846,266
2846,CHI,266
CHI,2847,266
2847,CHI,266
CHI,2848,266
2848,CHI,266
CHI,2849,266
2849,CHI,266
CHI,2850,266
2850,CHI,266
CHI,2851,266
2851,CHI,266
CHI,2852,266
2852,CHI,266
CHI,2853,266
2853,CHI,266
CHI,2854,266
2854,CHI,266
CHI,2855,266
2855,CHI,266
CHI,2856,266
2856,CHI,266
CHI,2857,266
2857,CHI,266
CHI,2858,266
2858,CHI,266
CHI,2859,266
2859,CHI,266
CHI,2860,266
2860,CHI,266
CHI,2861,266
2861,CHI,266
CHI,2862,266
2862,CHI,266
CHI,2863,266
2863,CHI,266
CHI,2864,266
2864,CHI,266
CHI,2865,266
2865,CHI,266
CHI,2866,266
2866,CHI,266
CHI,2867,266
2867,CHI,266
CHI,2868,266
2868,CHI,266
CHI,2869,266
2869,CHI,266
CHI,2870,266
2870,CHI,266
CHI,2871,266
2871,CHI,266
CHI,2872,266
2872,CHI,266
CHI,2873,266
2873,CHI,266
CHI,2874,266
2874,CHI,266
CHI,2875,266
2875,CHI,266
CHI,2876,266
2876,CHI,266
CHI,2877,266
2877,CHI,266
CHI,2878,266
2878,CHI,266
CHI,2879,266
2879,CHI,266
CHI,2880,266
2880,CHI,266
CHI,2881,266
2881,CHI,266
CHI,2882,266
2882,CHI,266
CHI,2883,266
2883,CHI,266
CHI,2884,266
2884,CHI,266
CHI,2885,266
2885,CHI,266
CHI,2886,266
2886,CHI,266
CHI,2887,266
2887,CHI,266
CHI,2888,266
2888,CHI,266
CHI,2889,266
2889,CHI,266
CHI,2890,266
2890,CHI,266
CHI,2891,266
2891,CHI,266
CHI,2892,266
2892,CHI,266
CHI,2893,266
2893,CHI,266
CHI,2894,266
2894,CHI,266
CHI,2895,266
2895,CHI,266
CHI,2896,266
2896,CHI,266
CHI,2897,266
2897,CHI,266
CHI,2898,266
2898,CHI,266
CHI,2899,266
2899,CHI,266
CHI,2900,266
2900,CHI,266
CHI,2901,266
2901,CHI,266
CHI,2902,266
2902,CHI,266
CHI,2903,266
2903,CHI,266
CHI,2904,266
2904,CHI,266
CHI,2905,266
2905,CHI,266
CHI,2906,266
2906,CHI,266
CHI,2907,266
2907,CHI,266
CHI,2908,266
2908,CHI,266
CHI,2909,266
2909,CHI,266
CHI,2910,266
2910,CHI,266
CHI,2911,266
2911,CHI,266
CHI,2912,266
2912,CHI,266
CHI,2913,266
2913,CHI,266
CHI,2914,266
2914,CHI,266
CHI,2915,266
2915,CHI,266
CHI,2916,266
2916,CHI,266
CHI,2917,266
2917,CHI,266
CHI,2918,266
2918,CHI,266
CHI,2919,266
2919,CHI,266
CHI,2920,266
2920,CHI,266
CHI,2921,266
2921,CHI,266
CHI,2922,266
2922,CHI,266
CHI,2923,266
2923,CHI,266
CHI,2924,266
2924,CHI,266
CHI,2925,266
2925,CHI,266
CHI,2926,266
2926,CHI,266
CHI,2927,266
2927,CHI,266
CHI,2928,266
2928,CHI,266
CHI,2929,266
2929,CHI,266
CHI,2930,266
2930,CHI,266
CHI,2931,266
2931,CHI,266
CHI,2932,266
2932,CHI,266
CHI,2933,266
2933,CHI,266
CHI,2934,266
2934,CHI,266
CHI,2935,266
2935,CHI,266
CHI,2936,266
2936,CHI,266
CHI,2937,266
2937,CHI,266
CHI,2938,266
2938,CHI,266
CHI,2939,266
2939,CHI,266
CHI,2940,266
2940,CHI,266
CHI,2941,266
2941,CHI,266
CHI,2942,266
2942,CHI,266
CHI,2943,266
2943,CHI,266
CHI,2944,266
2944,CHI,266
CHI,2945,266
2945,CHI,266
CHI,2946,266
2946,CHI,266
CHI,2947,266
2947,CHI,266
CHI,2948,266
2948,CHI,266
CHI,2949,266
2949,CHI,266
CHI,2950,266
2950,CHI,266
CHI,2951,266
2951,CHI,266
CHI,2952,266
2952,CHI,266
CHI,2953,266
2953,CHI,266
CHI,2954,266
2954,CHI,266
CHI,2955,266
2955,CHI,266
CHI,2956,266
2956,CHI,266
CHI,2957,266
2957,CHI,266
CHI,2958,266
2958,CHI,266
CHI,2959,266
2959,CHI,266
CHI,2960,266
2960,CHI,266
CHI,2961,266
2961,CHI,266
CHI,2962,266
