Timestep,Region,ch4em
USA,2426,113
2426,USA,113
USA,2427,113
2427,USA,113
USA,2428,113
2428,USA,113
USA,2429,113
2429,USA,113
USA,2430,113
2430,USA,113
USA,2431,113
2431,USA,113
USA,2432,113
2432,USA,113
USA,2433,113
2433,USA,113
USA,2434,113
2434,USA,113
USA,2435,113
2435,USA,113
USA,2436,113
2436,USA,113
USA,2437,113
2437,USA,113
USA,2438,113
2438,USA,113
USA,2439,113
2439,USA,113
USA,2440,113
2440,USA,113
USA,2441,113
2441,USA,113
USA,2442,113
2442,USA,113
USA,2443,113
2443,USA,113
USA,2444,113
2444,USA,113
USA,2445,113
2445,USA,113
USA,2446,113
2446,USA,113
USA,2447,113
2447,USA,113
USA,2448,113
2448,USA,113
USA,2449,113
2449,USA,113
USA,2450,113
2450,USA,113
USA,2451,113
2451,USA,113
USA,2452,113
2452,USA,113
USA,2453,113
2453,USA,113
USA,2454,113
2454,USA,113
USA,2455,113
2455,USA,113
USA,2456,113
2456,USA,113
USA,2457,113
2457,USA,113
USA,2458,113
2458,USA,113
USA,2459,113
2459,USA,113
USA,2460,113
2460,USA,113
USA,2461,113
2461,USA,113
USA,2462,113
2462,USA,113
USA,2463,113
2463,USA,113
USA,2464,113
2464,USA,113
USA,2465,113
2465,USA,113
USA,2466,113
2466,USA,113
USA,2467,113
2467,USA,113
USA,2468,113
2468,USA,113
USA,2469,113
2469,USA,113
USA,2470,113
2470,USA,113
USA,2471,113
2471,USA,113
USA,2472,113
2472,USA,113
USA,2473,113
2473,USA,113
USA,2474,113
2474,USA,113
USA,2475,113
2475,USA,113
USA,2476,113
2476,USA,113
USA,2477,113
2477,USA,113
USA,2478,113
2478,USA,113
USA,2479,113
2479,USA,113
USA,2480,113
2480,USA,113
USA,2481,113
2481,USA,113
USA,2482,113
2482,USA,113
USA,2483,113
2483,USA,113
USA,2484,113
2484,USA,113
USA,2485,113
2485,USA,113
USA,2486,113
2486,USA,113
USA,2487,113
2487,USA,113
USA,2488,113
2488,USA,113
USA,2489,113
2489,USA,113
USA,2490,113
2490,USA,113
USA,2491,113
2491,USA,113
USA,2492,113
2492,USA,113
USA,2493,113
2493,USA,113
USA,2494,113
2494,USA,113
USA,2495,113
2495,USA,113
USA,2496,113
2496,USA,113
USA,2497,113
2497,USA,113
USA,2498,113
2498,USA,113
USA,2499,113
2499,USA,113
USA,2500,113
2500,USA,113
USA,2501,113
2501,USA,113
USA,2502,113
2502,USA,113
USA,2503,113
2503,USA,113
USA,2504,113
2504,USA,113
USA,2505,113
2505,USA,113
USA,2506,113
2506,USA,113
USA,2507,113
2507,USA,113
USA,2508,113
2508,USA,113
USA,2509,113
2509,USA,113
USA,2510,113
2510,USA,113
USA,2511,113
2511,USA,113
USA,2512,113
2512,USA,113
USA,2513,113
2513,USA,113
USA,2514,113
2514,USA,113
USA,2515,113
2515,USA,113
USA,2516,113
2516,USA,113
USA,2517,113
2517,USA,113
USA,2518,113
2518,USA,113
USA,2519,113
2519,USA,113
USA,2520,113
2520,USA,113
USA,2521,113
2521,USA,113
USA,2522,113
2522,USA,113
USA,2523,113
2523,USA,113
