Region,Region,migrate
CHI,CAN,GammaDistribution(2; 0.01)
CHI,WEU,GammaDistribution(2; 0.02)
CHI,JPK,GammaDistribution(2; 0.01)
CHI,ANZ,GammaDistribution(2; 0.02)
CHI,EEU,GammaDistribution(1; 0.001)
CHI,FSU,GammaDistribution(1; 0.001)
CHI,MDE,GammaDistribution(1; 0.001)
CHI,CAM,GammaDistribution(1; 0.001)
CHI,LAM,GammaDistribution(1; 0.001)
CHI,SAS,GammaDistribution(1; 0.001)
CHI,SEA,GammaDistribution(1; 0.005)
CHI,CHI,GammaDistribution(82.987950057818; 1.09772228646444E-02)
CHI,MAF,GammaDistribution(1; 0.001)
MAF,CHI,GammaDistribution(1; 0.001)
CHI,SSA,GammaDistribution(1; 0.001)
SSA,CHI,GammaDistribution(1; 0.001)
CHI,SIS,GammaDistribution(1; 0.001)
SIS,CHI,GammaDistribution(1; 0.001)
MAF,USA,GammaDistribution(2; 0.01)
MAF,CAN,GammaDistribution(1; 0.005)
MAF,WEU,GammaDistribution(2; 0.09)
MAF,JPK,GammaDistribution(1; 0.001)
MAF,ANZ,GammaDistribution(1; 0.005)
MAF,EEU,GammaDistribution(1; 0.001)
MAF,FSU,GammaDistribution(1; 0.001)
MAF,MDE,GammaDistribution(1; 0.001)
MAF,CAM,GammaDistribution(1; 0.001)
MAF,LAM,GammaDistribution(1; 0.001)
MAF,SAS,GammaDistribution(1; 0.001)
MAF,SEA,GammaDistribution(1; 0.001)
MAF,CHI,GammaDistribution(1; 0.001)
MAF,MAF,GammaDistribution(82.987950057818; 1.09772228646444E-02)
MAF,SSA,GammaDistribution(1; 0.001)
SSA,MAF,GammaDistribution(1; 0.001)
MAF,SIS,GammaDistribution(1; 0.001)
SIS,MAF,GammaDistribution(1; 0.001)
SSA,USA,GammaDistribution(2; 0.03)
SSA,CAN,GammaDistribution(2; 0.005)
SSA,WEU,GammaDistribution(2; 0.06)
SSA,JPK,GammaDistribution(1; 0.001)
SSA,ANZ,GammaDistribution(2; 0.005)
SSA,EEU,GammaDistribution(1; 0.001)
SSA,FSU,GammaDistribution(1; 0.001)
SSA,MDE,GammaDistribution(1; 0.001)
SSA,CAM,GammaDistribution(1; 0.001)
SSA,LAM,GammaDistribution(1; 0.001)
SSA,SAS,GammaDistribution(1; 0.001)
SSA,SEA,GammaDistribution(1; 0.001)
SSA,CHI,GammaDistribution(1; 0.001)
SSA,MAF,GammaDistribution(1; 0.005)
SSA,SSA,GammaDistribution(82.987950057818; 1.09772228646444E-02)
SSA,SIS,GammaDistribution(1; 0.001)
SIS,SSA,GammaDistribution(1; 0.001)
SIS,USA,GammaDistribution(2; 0.15)
SIS,CAN,GammaDistribution(2; 0.1)
SIS,WEU,GammaDistribution(2; 0.15)
SIS,JPK,GammaDistribution(2; 0.05)
SIS,ANZ,GammaDistribution(2; 0.15)
SIS,EEU,GammaDistribution(1; 0.001)
SIS,FSU,GammaDistribution(1; 0.001)
SIS,MDE,GammaDistribution(1; 0.001)
SIS,CAM,GammaDistribution(2; 0.1)
SIS,LAM,GammaDistribution(2; 0.1)
SIS,SAS,GammaDistribution(2; 0.1)
SIS,SEA,GammaDistribution(2; 0.1)
SIS,CHI,GammaDistribution(1; 0.001)
SIS,MAF,GammaDistribution(1; 0.001)
SIS,SSA,GammaDistribution(1; 0.001)
SIS,SIS,GammaDistribution(1; 0.1)
,USA,
USA,,
,CAN,
CAN,,
,WEU,
WEU,,
,JPK,
JPK,,
,ANZ,
ANZ,,
,EEU,
EEU,,
,FSU,
FSU,,
,MDE,
MDE,,
,CAM,
CAM,,
,LAM,
LAM,,
,SAS,
SAS,,
,SEA,
SEA,,
,CHI,
CHI,,
,MAF,
MAF,,
,SSA,
SSA,,
,SIS,
SIS,,
alpha,USA,101.99019513592752
USA,alpha,101.99019513592752
alpha,CAN,1
CAN,alpha,1
alpha,WEU,1
WEU,alpha,1
alpha,JPK,1
JPK,alpha,1
alpha,ANZ,1
ANZ,alpha,1
alpha,EEU,1
EEU,alpha,1
alpha,FSU,1
FSU,alpha,1
alpha,MDE,1
MDE,alpha,1
alpha,CAM,1
CAM,alpha,1
alpha,LAM,1
LAM,alpha,1
